GKZ;Anzahl;Anzahl_Inzidenz;Timestamp;;;;Farbe;Rang;Zeile;;;Ränge;1;0;fceed3
307;78;76,4630889892578;03.05.20 17:00;;;;"=WENNS(I26=N$5;P$5;I26=N$4;P$4;I26=N$3;P$3;I26 = N$2;P$2;I26=N$1;P$1)";"=WENNS(C26>O$5;N$5;C26>O$4;N$4;C26>O$3;N$3;C26>O$2;N$2;C26>O$1;N$1)";"="".bz""&TEXT(A26;""0"") & "" { fill:#"" &TEXT(H26;""0"") &"";fill-opacity:1 }""";;;;;;
308;88;84,8716354370117;03.05.20 17:00;;;;"=WENNS(I27=N$5;P$5;I27=N$4;P$4;I27=N$3;P$3;I27 = N$2;P$2;I27=N$1;P$1)";"=WENNS(C27>O$5;N$5;C27>O$4;N$4;C27>O$3;N$3;C27>O$2;N$2;C27>O$1;N$1)";"="".bz""&TEXT(A27;""0"") & "" { fill:#"" &TEXT(H27;""0"") &"";fill-opacity:1 }""";;;;;;
309;14;38,0714111328125;03.05.20 17:00;;;;"=WENNS(I28=N$5;P$5;I28=N$4;P$4;I28=N$3;P$3;I28 = N$2;P$2;I28=N$1;P$1)";"=WENNS(C28>O$5;N$5;C28>O$4;N$4;C28>O$3;N$3;C28>O$2;N$2;C28>O$1;N$1)";"="".bz""&TEXT(A28;""0"") & "" { fill:#"" &TEXT(H28;""0"") &"";fill-opacity:1 }""";;;;;;
310;34;66,8528060913086;03.05.20 17:00;;;;"=WENNS(I29=N$5;P$5;I29=N$4;P$4;I29=N$3;P$3;I29 = N$2;P$2;I29=N$1;P$1)";"=WENNS(C29>O$5;N$5;C29>O$4;N$4;C29>O$3;N$3;C29>O$2;N$2;C29>O$1;N$1)";"="".bz""&TEXT(A29;""0"") & "" { fill:#"" &TEXT(H29;""0"") &"";fill-opacity:1 }""";;;;;;
311;44;141,524612426758;03.05.20 17:00;;;;"=WENNS(I30=N$5;P$5;I30=N$4;P$4;I30=N$3;P$3;I30 = N$2;P$2;I30=N$1;P$1)";"=WENNS(C30>O$5;N$5;C30>O$4;N$4;C30>O$3;N$3;C30>O$2;N$2;C30>O$1;N$1)";"="".bz""&TEXT(A30;""0"") & "" { fill:#"" &TEXT(H30;""0"") &"";fill-opacity:1 }""";;;;;;
312;155;170,537689208984;03.05.20 17:00;;;;"=WENNS(I31=N$5;P$5;I31=N$4;P$4;I31=N$3;P$3;I31 = N$2;P$2;I31=N$1;P$1)";"=WENNS(C31>O$5;N$5;C31>O$4;N$4;C31>O$3;N$3;C31>O$2;N$2;C31>O$1;N$1)";"="".bz""&TEXT(A31;""0"") & "" { fill:#"" &TEXT(H31;""0"") &"";fill-opacity:1 }""";;;;;;
313;150;265,036407470703;03.05.20 17:00;;;;"=WENNS(I32=N$5;P$5;I32=N$4;P$4;I32=N$3;P$3;I32 = N$2;P$2;I32=N$1;P$1)";"=WENNS(C32>O$5;N$5;C32>O$4;N$4;C32>O$3;N$3;C32>O$2;N$2;C32>O$1;N$1)";"="".bz""&TEXT(A32;""0"") & "" { fill:#"" &TEXT(H32;""0"") &"";fill-opacity:1 }""";;;;;;
314;41;158,840850830078;03.05.20 17:00;;;;"=WENNS(I33=N$5;P$5;I33=N$4;P$4;I33=N$3;P$3;I33 = N$2;P$2;I33=N$1;P$1)";"=WENNS(C33>O$5;N$5;C33>O$4;N$4;C33>O$3;N$3;C33>O$2;N$2;C33>O$1;N$1)";"="".bz""&TEXT(A33;""0"") & "" { fill:#"" &TEXT(H33;""0"") &"";fill-opacity:1 }""";;;;;;
315;168;215,489593505859;03.05.20 17:00;;;;"=WENNS(I34=N$5;P$5;I34=N$4;P$4;I34=N$3;P$3;I34 = N$2;P$2;I34=N$1;P$1)";"=WENNS(C34>O$5;N$5;C34>O$4;N$4;C34>O$3;N$3;C34>O$2;N$2;C34>O$1;N$1)";"="".bz""&TEXT(A34;""0"") & "" { fill:#"" &TEXT(H34;""0"") &"";fill-opacity:1 }""";;;;;;
316;131;173,549011230469;03.05.20 17:00;;;;"=WENNS(I35=N$5;P$5;I35=N$4;P$4;I35=N$3;P$3;I35 = N$2;P$2;I35=N$1;P$1)";"=WENNS(C35>O$5;N$5;C35>O$4;N$4;C35>O$3;N$3;C35>O$2;N$2;C35>O$1;N$1)";"="".bz""&TEXT(A35;""0"") & "" { fill:#"" &TEXT(H35;""0"") &"";fill-opacity:1 }""";;;;;;
