GKZ;Anzahl;Anzahl_Inzidenz;Timestamp;GKZ;Anzahl;Anzahl_Inzidenz;Timestamp;;;Differenz absolut;Differenz Inzidenz;;;Farbe;Rang;Zeile;;;Zeile effektiv;;;Maximum;=MAX(L2:L94);;Ränge;1;0;fceed3
303;23;204,244735717773;19.04.20 19:00;303;23;204,244735717773;03.05.20 17:00;;;=F22-B22;=G22-C22;;;"=WENNS(P22=AA$5;AC$5;P22=AA$4;AC$4;P22=AA$3;AC$3;P22 = AA$2;AC$2;P22=AA$1;AC$1)";"=WENNS(L22>AB$5;AA$5;L22>AB$4;AA$4;L22>AB$3;AA$3;L22>AB$2;AA$2;L22>AB$1;AA$1)";"="".bz""&TEXT(E22;""0"") & "" { fill:#"" &TEXT(O22;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q22;"""")";;;;;;;;;
304;40;88,3450775146484;19.04.20 19:00;304;46;101,596839904785;03.05.20 17:00;;;=F23-B23;=G23-C23;;;"=WENNS(P23=AA$5;AC$5;P23=AA$4;AC$4;P23=AA$3;AC$3;P23 = AA$2;AC$2;P23=AA$1;AC$1)";"=WENNS(L23>AB$5;AA$5;L23>AB$4;AA$4;L23>AB$3;AA$3;L23>AB$2;AA$2;L23>AB$1;AA$1)";"="".bz""&TEXT(E23;""0"") & "" { fill:#"" &TEXT(O23;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q23;"""")";;;;;;;;;
305;282;242,864776611328;19.04.20 19:00;305;295;254,060668945313;03.05.20 17:00;;;=F24-B24;=G24-C24;;;"=WENNS(P24=AA$5;AC$5;P24=AA$4;AC$4;P24=AA$3;AC$3;P24 = AA$2;AC$2;P24=AA$1;AC$1)";"=WENNS(L24>AB$5;AA$5;L24>AB$4;AA$4;L24>AB$3;AA$3;L24>AB$2;AA$2;L24>AB$1;AA$1)";"="".bz""&TEXT(E24;""0"") & "" { fill:#"" &TEXT(O24;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q24;"""")";;;;;;;;;
306;130;88,9174652099609;19.04.20 19:00;306;138;94,3893051147461;03.05.20 17:00;;;=F25-B25;=G25-C25;;;"=WENNS(P25=AA$5;AC$5;P25=AA$4;AC$4;P25=AA$3;AC$3;P25 = AA$2;AC$2;P25=AA$1;AC$1)";"=WENNS(L25>AB$5;AA$5;L25>AB$4;AA$4;L25>AB$3;AA$3;L25>AB$2;AA$2;L25>AB$1;AA$1)";"="".bz""&TEXT(E25;""0"") & "" { fill:#"" &TEXT(O25;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q25;"""")";;;;;;;;;
307;74;72,5419082641602;19.04.20 19:00;307;78;76,4630889892578;03.05.20 17:00;;;=F26-B26;=G26-C26;;;"=WENNS(P26=AA$5;AC$5;P26=AA$4;AC$4;P26=AA$3;AC$3;P26 = AA$2;AC$2;P26=AA$1;AC$1)";"=WENNS(L26>AB$5;AA$5;L26>AB$4;AA$4;L26>AB$3;AA$3;L26>AB$2;AA$2;L26>AB$1;AA$1)";"="".bz""&TEXT(E26;""0"") & "" { fill:#"" &TEXT(O26;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q26;"""")";;;;;;;;;
308;78;75,2271270751953;19.04.20 19:00;308;88;84,8716354370117;03.05.20 17:00;;;=F27-B27;=G27-C27;;;"=WENNS(P27=AA$5;AC$5;P27=AA$4;AC$4;P27=AA$3;AC$3;P27 = AA$2;AC$2;P27=AA$1;AC$1)";"=WENNS(L27>AB$5;AA$5;L27>AB$4;AA$4;L27>AB$3;AA$3;L27>AB$2;AA$2;L27>AB$1;AA$1)";"="".bz""&TEXT(E27;""0"") & "" { fill:#"" &TEXT(O27;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q27;"""")";;;;;;;;;
309;13;35,3520240783691;19.04.20 19:00;309;14;38,0714111328125;03.05.20 17:00;;;=F28-B28;=G28-C28;;;"=WENNS(P28=AA$5;AC$5;P28=AA$4;AC$4;P28=AA$3;AC$3;P28 = AA$2;AC$2;P28=AA$1;AC$1)";"=WENNS(L28>AB$5;AA$5;L28>AB$4;AA$4;L28>AB$3;AA$3;L28>AB$2;AA$2;L28>AB$1;AA$1)";"="".bz""&TEXT(E28;""0"") & "" { fill:#"" &TEXT(O28;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q28;"""")";;;;;;;;;
310;30;58,9877700805664;19.04.20 19:00;310;34;66,8528060913086;03.05.20 17:00;;;=F29-B29;=G29-C29;;;"=WENNS(P29=AA$5;AC$5;P29=AA$4;AC$4;P29=AA$3;AC$3;P29 = AA$2;AC$2;P29=AA$1;AC$1)";"=WENNS(L29>AB$5;AA$5;L29>AB$4;AA$4;L29>AB$3;AA$3;L29>AB$2;AA$2;L29>AB$1;AA$1)";"="".bz""&TEXT(E29;""0"") & "" { fill:#"" &TEXT(O29;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q29;"""")";;;;;;;;;
311;41;131,875198364258;19.04.20 19:00;311;44;141,524612426758;03.05.20 17:00;;;=F30-B30;=G30-C30;;;"=WENNS(P30=AA$5;AC$5;P30=AA$4;AC$4;P30=AA$3;AC$3;P30 = AA$2;AC$2;P30=AA$1;AC$1)";"=WENNS(L30>AB$5;AA$5;L30>AB$4;AA$4;L30>AB$3;AA$3;L30>AB$2;AA$2;L30>AB$1;AA$1)";"="".bz""&TEXT(E30;""0"") & "" { fill:#"" &TEXT(O30;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q30;"""")";;;;;;;;;
312;151;166,13671875;19.04.20 19:00;312;155;170,537689208984;03.05.20 17:00;;;=F31-B31;=G31-C31;;;"=WENNS(P31=AA$5;AC$5;P31=AA$4;AC$4;P31=AA$3;AC$3;P31 = AA$2;AC$2;P31=AA$1;AC$1)";"=WENNS(L31>AB$5;AA$5;L31>AB$4;AA$4;L31>AB$3;AA$3;L31>AB$2;AA$2;L31>AB$1;AA$1)";"="".bz""&TEXT(E31;""0"") & "" { fill:#"" &TEXT(O31;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q31;"""")";;;;;;;;;
