Datum	Uhrzeit	<5	5–14	15–24	25–34	35–44	45–54	55–64	65–74	75–84	>84
2020-04-23	16:00:00	0	0	0	1	2	6	19	88	187	201
2020-04-23	17:00:00	0	0	0	1	2	6	20	89	189	201
2020-04-23	18:00:00	0	0	0	1	2	6	20	89	189	201
2020-04-23	19:00:00	0	0	0	1	2	6	20	89	189	201
2020-04-23	20:00:00	0	0	0	1	2	6	20	89	189	201
2020-04-23	21:00:00	0	0	0	1	2	6	20	89	189	201
2020-04-23	22:00:00	0	0	0	1	2	6	20	89	189	201
2020-04-23	23:00:00	0	0	0	1	2	6	20	89	189	201
2020-04-24	00:00:00	0	0	0	1	2	6	20	89	189	201
2020-04-24	01:00:00	0	0	0	1	2	6	20	89	189	201
2020-04-24	02:00:00	0	0	0	1	2	6	20	89	189	201
2020-04-24	03:00:00	0	0	0	1	2	6	20	89	189	201
2020-04-24	04:00:00	0	0	0	1	2	6	20	89	189	201
2020-04-24	05:00:00	0	0	0	1	2	6	20	89	189	201
2020-04-24	06:00:00	0	0	0	1	2	6	20	89	189	201
2020-04-24	07:00:00	0	0	0	1	2	6	20	89	189	201
2020-04-24	08:00:00	0	0	0	1	2	6	20	89	189	202
2020-04-24	09:00:00	0	0	0	1	2	6	20	89	190	202
2020-04-24	10:00:00	0	0	0	1	2	6	20	89	190	202
2020-04-24	11:00:00	0	0	0	1	2	6	20	89	190	202
2020-04-24	12:00:00	0	0	0	1	2	7	20	89	190	202
2020-04-24	13:00:00	0	0	0	1	2	7	20	89	190	202
2020-04-24	14:00:00	0	0	0	1	2	7	20	89	189	200
2020-04-24	15:00:00	0	0	0	1	2	7	20	90	189	200
2020-04-24	16:00:00	0	0	0	1	2	7	20	90	189	200
2020-04-24	17:00:00	0	0	0	1	2	7	20	90	189	200
2020-04-24	18:00:00	0	0	0	1	2	7	20	90	189	200
2020-04-24	19:00:00	0	0	0	1	2	7	20	90	189	200
2020-04-24	20:00:00	0	0	0	1	2	7	20	90	190	202
2020-04-24	21:00:00	0	0	0	1	2	7	20	90	190	203
2020-04-24	22:00:00	0	0	0	1	2	7	20	90	190	203
2020-04-24	23:00:00	0	0	0	1	2	7	20	90	190	203
2020-04-25	00:00:00	0	0	0	1	2	7	20	90	190	203
2020-04-25	01:00:00	0	0	0	1	2	7	20	90	190	203
2020-04-25	02:00:00	0	0	0	1	2	7	20	90	190	203
2020-04-25	03:00:00	0	0	0	1	2	7	20	90	190	203
2020-04-25	04:00:00	0	0	0	1	2	7	20	90	190	203
2020-04-25	05:00:00	0	0	0	1	2	7	20	90	190	203
2020-04-25	06:00:00	0	0	0	1	2	7	20	90	190	203
2020-04-25	07:00:00	0	0	0	1	2	7	20	90	190	203
2020-04-25	08:00:00	0	0	0	1	2	7	20	90	190	203
2020-04-25	09:00:00	0	0	0	1	2	7	20	90	190	203
2020-04-25	10:00:00	0	0	0	1	2	7	20	90	190	203
2020-04-25	11:00:00	0	0	0	1	2	7	20	91	190	204
2020-04-25	12:00:00	0	0	0	1	2	7	20	91	190	204
2020-04-25	13:00:00	0	0	0	1	2	7	20	91	190	204
2020-04-25	14:00:00	0	0	0	1	2	7	20	91	190	204
2020-04-25	15:00:00	0	0	0	1	2	7	20	91	190	204
2020-04-25	16:00:00	0	0	0	1	2	7	20	91	190	204
2020-04-25	17:00:00	0	0	0	1	2	7	20	91	190	204
2020-04-25	17:59:59	0	0	0	1	2	7	20	91	190	204
2020-04-25	19:00:00	0	0	0	1	2	7	20	91	190	204
2020-04-25	20:00:00	0	0	0	1	2	7	20	91	190	204
2020-04-25	21:00:00	0	0	0	1	2	7	20	91	192	205
2020-04-25	22:00:00	0	0	0	1	2	7	20	91	192	205
2020-04-25	23:00:00	0	0	0	1	2	7	20	91	192	205
2020-04-26	00:00:00	0	0	0	1	2	7	20	91	192	205
2020-04-26	01:00:00	0	0	0	1	2	7	20	91	192	205
2020-04-26	02:00:00	0	0	0	1	2	7	20	91	192	205
2020-04-26	02:59:59	0	0	0	1	2	7	20	91	192	205
2020-04-26	04:00:00	0	0	0	1	2	7	20	91	192	205
2020-04-26	05:00:00	0	0	0	1	2	7	20	91	192	205
2020-04-26	06:00:00	0	0	0	1	2	7	20	91	192	205
2020-04-26	07:00:00	0	0	0	1	2	7	20	91	192	205
2020-04-26	08:00:00	0	0	0	1	2	7	20	91	192	205
2020-04-26	09:00:00	0	0	0	1	2	7	20	91	193	205
2020-04-26	10:00:00	0	0	0	1	2	7	20	91	193	206
2020-04-26	11:00:00	0	0	0	1	2	7	20	91	193	206
2020-04-26	12:00:00	0	0	0	1	2	7	20	91	193	206
2020-04-26	13:00:00	0	0	0	1	2	7	20	91	193	206
2020-04-26	14:00:00	0	0	0	1	2	7	20	91	193	206
2020-04-26	15:00:00	0	0	0	1	2	7	20	91	193	206
2020-04-26	16:00:00	0	0	0	1	2	7	20	91	193	206
2020-04-26	17:00:00	0	0	0	1	2	7	20	91	193	206
2020-04-26	18:00:00	0	0	0	1	2	7	20	91	193	206
2020-04-26	19:00:00	0	0	0	1	2	7	20	91	193	206
2020-04-26	20:00:00	0	0	0	1	2	7	20	91	193	206
2020-04-26	21:00:00	0	0	0	1	2	7	20	91	193	206
2020-04-26	22:00:00	0	0	0	1	2	7	21	92	195	210
2020-04-26	23:00:00	0	0	0	1	2	7	21	92	195	210
2020-04-27	00:00:00	0	0	0	1	2	7	21	92	195	210
2020-04-27	01:00:00	0	0	0	1	2	7	21	92	195	210
2020-04-27	02:00:00	0	0	0	1	2	7	21	92	195	210
2020-04-27	03:00:00	0	0	0	1	2	7	21	92	195	210
2020-04-27	04:00:00	0	0	0	1	2	7	21	92	195	210
2020-04-27	05:00:00	0	0	0	1	2	7	21	92	195	210
2020-04-27	06:00:00	0	0	0	1	2	7	21	92	195	210
2020-04-27	07:00:00	0	0	0	1	2	7	21	92	195	210
2020-04-27	08:00:00	0	0	0	1	2	7	21	92	195	210
2020-04-27	09:00:00	0	0	0	1	2	7	21	93	195	210
2020-04-27	10:00:00	0	0	0	1	2	7	21	93	197	211
2020-04-27	12:00:00	0	0	0	1	2	8	21	93	198	211
2020-04-27	13:00:00	0	0	0	1	2	8	21	93	198	211
2020-04-27	15:00:00	0	0	0	1	2	8	21	94	198	212
2020-04-27	16:00:00	0	0	0	1	2	8	21	94	199	212
2020-04-27	17:00:00	0	0	0	1	2	8	21	94	199	212
2020-04-28	14:03:12	0	0	0	1	2	8	21	94	200	216
2020-04-28	15:00:00	0	0	0	1	2	8	21	94	201	216
2020-04-28	17:00:00	0	0	0	1	2	8	21	95	203	217
2020-04-28	18:00:00	0	0	0	1	2	8	21	95	203	217
2020-04-28	19:00:00	0	0	0	1	2	8	21	95	203	217
2020-04-28	20:00:00	0	0	0	1	2	8	21	95	203	219
2020-04-28	21:00:00	0	0	0	1	2	8	21	95	203	220
2020-04-28	22:00:00	0	0	0	1	2	8	21	95	203	220
2020-04-29	00:00:00	0	0	0	1	2	8	21	95	203	220
2020-04-29	01:00:00	0	0	0	1	2	8	21	95	203	220
2020-04-29	02:00:00	0	0	0	1	2	8	21	95	203	220
2020-04-29	03:00:00	0	0	0	1	2	8	21	95	203	220
2020-04-29	04:00:00	0	0	0	1	2	8	21	95	203	220
2020-04-29	05:00:00	0	0	0	1	2	8	21	95	203	220
2020-04-29	06:00:00	0	0	0	1	2	8	21	95	203	220
2020-04-29	07:00:00	0	0	0	1	2	8	21	95	203	220
2020-04-29	08:00:00	0	0	0	1	2	9	21	95	203	220
2020-04-29	10:00:00	0	0	0	1	2	9	21	95	204	220
2020-04-29	11:00:00	0	0	0	1	2	9	21	95	205	220
2020-04-29	12:59:59	0	0	0	1	2	9	21	95	205	221
2020-04-29	14:00:00	0	0	0	1	2	9	21	95	205	221
2020-04-29	15:00:00	0	0	0	1	2	9	21	95	205	221
2020-04-29	16:00:00	0	0	0	1	2	9	21	95	205	221
2020-04-29	17:00:00	0	0	0	1	2	9	21	95	205	222
2020-04-29	19:00:00	0	0	0	1	2	9	21	95	205	222
